Город
Адыгейск
Воронеж
Екатеринбург
Жуковский
Казань
Калининград
Красноярск
Нижний Новгород
Новороссийск
Новосибирск
Петровское
Пушкино-1
Пушкино-2
Ростов-на-Дону
Самара
Санкт-Петербург
Софьино
СПБ Бугры
Тверь
Хабаровск
Хоругвино
Распределительные центры
РЦ Павловская Слобода
РЦ Рябиновая_Кроссдокинг
Сортировочные центры
Армавир Тоннельная
Астрахань Рождественского
Балабаново
Барнаул
Белгород
Брянск Октябрьское
Великий Новгород — Сырково
Владимир
Волгоград
Вологда
Иваново Коляново
Ижевск Пойма
Истра
Иркутск — Розы
ТСЦ Казань Аэропорт
Кемерово
Киров
Краснодар
Красноярск
Курган
Курск Октября
Липецк
Магнитогорск Красноармейская
Минеральные Воды
МО Львовский
МО Успенский
МО Щербинка
Набережные Челны
Нижнее Велино
Нижний Тагил
Новокузнецк Автотранспортная
Новочебоксарск
Новый Уренгой Таёжная
Омск
Оренбург Базовая
Орёл Южный
СЦ СПб Осиновая Роща
Пенза Совхозная
Пермь Аэлита
Петрозаводск — Пряжинское
Псков
ТСЦ Пушкино
Рязань Добролюбова
Саларьево
Самара Преображенка
Саратов Трофимовский
Скотопрогонная
Смоленск Индустриальная
Сочи Лазаревский
Ставрополь
Сургут
Тамбов
Тольятти
Томск Профсоюзная
ТСЦ СПБ Шушары
Тула
Тюмень Широтная
Ульяновск
Уфа СЦ
Химки
Челябинск Танкограда
Чёрная Грязь
Ярославль Промышленная
